# Fuente: PVGIS v5.2 (Photovoltaic Geographical Information System) - Comision Europea, JRC
# Producto: TMY (Typical Meteorological Year), serie horaria (8760 h)
# Endpoint: https://re.jrc.ec.europa.eu/api/v5_2/tmy?lat=4.70&lon=-74.15&outputformat=csv
# Ubicacion: Bogota (Aeropuerto El Dorado, aprox.) - Lat 4.700 N, Lon -74.150, Elev 2547 m
# Nota: cada mes del TMY proviene de un anio real distinto (ver tabla "month,year" mas abajo).
# Descargado: 2026-07-23
# Zona horaria de time(UTC): UTC. Bogota = UTC-5 (sin horario de verano).
# Columnas clave: G(h)=GHI [W/m2], Gb(n)=DNI [W/m2], Gd(h)=DHI [W/m2], T2m=temp aire [C].
# Original de PVGIS sin modificar salvo este encabezado. Regenerar: ver docs/09-validacion.md.
#
Latitude (decimal degrees): 4.700
Longitude (decimal degrees): -74.150
Elevation (m): 2547.0
Irradiance Time Offset (h): 0.0
month,year
1,2010
2,2010
3,2015
4,2008
5,2006
6,2009
7,2013
8,2006
9,2012
10,2007
11,2014
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150322:0900,9.55,98.5,0.0,-0.0,0.0,356.2,0.41,91.0,74642.0
20150322:1000,9.41,98.45,0.0,-0.0,0.0,358.6,0.55,93.0,74679.0
20150322:1100,9.18,98.55,0.0,-0.0,0.0,351.4,0.69,98.0,74722.0
20150322:1200,9.59,97.2,183.0,385.58,90.0,342.6,0.83,109.0,74766.0
20150322:1300,11.15,91.9,445.0,633.11,139.0,346.2,0.21,118.0,74788.0
20150322:1400,13.13,77.15,690.0,756.58,166.0,342.0,0.76,290.0,74803.0
20150322:1500,15.1,72.8,886.0,822.5,183.0,342.8,1.17,274.0,74752.0
20150322:1600,16.38,77.0,545.0,21.91,524.0,353.8,1.59,269.0,74700.0
20150322:1700,17.09,84.1,1060.0,61.16,999.0,354.0,1.86,274.0,74642.0
20150322:1800,18.24,88.0,1023.0,33.05,991.0,366.6,1.79,264.0,74525.0
20150322:1900,18.19,87.1,904.0,824.8,184.0,352.8,2.0,272.0,74444.0
20150322:2000,18.66,88.55,665.0,762.84,117.0,359.8,1.72,270.0,74444.0
20150322:2100,15.31,85.55,384.0,392.31,182.0,359.4,1.24,280.0,74415.0
20150322:2200,13.62,90.2,44.0,0.0,44.0,355.6,0.83,308.0,74459.0
20150322:2300,12.48,94.95,0.0,0.0,0.0,347.0,0.83,319.0,74539.0
20150323:0000,11.45,96.2,0.0,-0.0,0.0,343.8,0.9,323.0,74635.0
20150323:0100,11.13,96.6,0.0,-0.0,0.0,348.85,0.21,335.0,74693.0
20150323:0200,10.95,97.5,0.0,-0.0,0.0,347.6,0.14,332.0,74759.0
20150323:0300,10.59,99.0,0.0,-0.0,0.0,344.2,0.21,102.0,74832.0
20150323:0400,10.57,98.65,0.0,-0.0,0.0,352.8,0.48,114.0,74810.0
20150323:0500,10.54,98.25,0.0,-0.0,0.0,355.4,0.41,111.0,74788.0
20150323:0600,10.57,97.8,0.0,-0.0,0.0,362.4,0.41,110.0,74737.0
20150323:0700,10.42,98.85,0.0,-0.0,0.0,356.2,0.34,27.0,74700.0
20150323:0800,10.28,98.65,0.0,-0.0,0.0,354.4,0.41,33.0,74679.0
20150323:0900,10.08,98.2,0.0,-0.0,0.0,349.4,0.41,39.0,74671.0
20150323:1000,10.11,97.05,0.0,-0.0,0.0,361.6,0.41,66.0,74744.0
20150323:1100,9.77,99.4,0.0,-0.0,0.0,349.2,0.41,86.0,74752.0
20150323:1200,10.05,98.85,84.0,0.0,84.0,356.2,0.83,116.0,74825.0
20150323:1300,10.58,91.8,445.0,632.95,138.0,363.6,0.9,127.0,74847.0
20150323:1400,12.07,86.5,688.0,753.54,165.0,353.8,0.28,220.0,74847.0
20150323:1500,14.23,79.4,883.0,820.2,181.0,368.4,0.83,265.0,74796.0
20150323:1600,15.41,83.65,1010.0,854.62,190.0,364.0,1.03,262.0,74730.0
20150323:1700,17.12,88.6,1056.0,863.89,194.0,365.0,1.31,260.0,74657.0
20150323:1800,18.03,89.45,342.0,254.07,96.0,364.0,1.66,273.0,74561.0
20150323:1900,16.42,79.75,433.0,397.59,86.0,368.4,1.59,284.0,74422.0
20150323:2000,17.46,88.5,494.0,338.48,251.0,352.6,1.38,271.0,74415.0
20150323:2100,15.75,88.5,331.0,427.8,111.0,359.8,1.17,278.0,74407.0
20150323:2200,14.36,90.8,117.0,36.28,107.0,356.8,1.1,264.0,74525.0
20150323:2300,12.58,93.2,0.0,0.0,0.0,355.0,0.69,283.0,74517.0
20150324:0000,12.12,98.25,0.0,-0.0,0.0,357.2,0.76,285.0,74664.0
20150324:0100,11.73,99.25,0.0,-0.0,0.0,355.05,0.34,261.0,74693.0
20150324:0200,11.25,99.6,0.0,-0.0,0.0,347.0,0.41,117.0,74788.0
20150324:0300,10.95,99.75,0.0,-0.0,0.0,349.2,0.62,97.0,74810.0
20150324:0400,10.71,99.65,0.0,-0.0,0.0,355.6,0.55,104.0,74810.0
20150324:0500,10.44,99.75,0.0,-0.0,0.0,360.4,0.62,99.0,74796.0
20150324:0600,10.53,99.25,0.0,-0.0,0.0,375.4,0.55,121.0,74752.0
20150324:0700,10.66,98.1,0.0,-0.0,0.0,377.2,0.21,122.0,74708.0
20150324:0800,10.7,98.2,0.0,-0.0,0.0,374.8,0.28,103.0,74708.0
20150324:0900,10.67,98.05,0.0,-0.0,0.0,372.4,0.48,104.0,74715.0
20150324:1000,10.67,97.85,0.0,-0.0,0.0,373.8,0.48,109.0,74774.0
20150324:1100,10.64,97.7,0.0,-0.0,0.0,375.8,0.48,104.0,74810.0
20150324:1200,10.78,96.75,189.0,28.58,182.0,370.8,0.48,94.0,74876.0
20150324:1300,11.43,91.9,232.0,160.26,154.0,375.8,0.07,92.0,74876.0
20150324:1400,12.22,86.5,433.0,139.47,336.0,361.0,0.14,229.0,74891.0
20150324:1500,13.3,79.7,1117.0,834.28,402.0,365.2,0.41,229.0,74854.0
20150324:1600,14.45,74.6,1023.0,231.18,801.0,367.2,0.76,264.0,74810.0
20150324:1700,14.96,76.65,514.0,195.34,319.0,370.0,1.1,271.0,74722.0
20150324:1800,15.82,82.7,496.0,470.92,40.0,371.2,1.1,260.0,74642.0
20150324:1900,17.19,84.85,747.0,385.09,411.0,369.4,1.31,267.0,74532.0
20150324:2000,17.69,88.7,196.0,264.83,6.0,367.2,1.31,279.0,74510.0
20150324:2100,15.4,84.55,479.0,662.03,139.0,361.6,0.83,299.0,74510.0
20150324:2200,14.08,84.05,214.0,10.91,211.0,348.2,0.69,292.0,74583.0
20150324:2300,12.86,91.05,0.0,0.0,0.0,342.4,0.48,294.0,74583.0
20150325:0000,12.08,92.7,0.0,-0.0,0.0,342.8,0.62,21.0,74635.0
20150325:0100,11.68,94.8,0.0,-0.0,0.0,339.05,0.97,72.0,74642.0
20150325:0200,11.08,96.85,0.0,-0.0,0.0,336.8,0.9,106.0,74730.0
20150325:0300,10.58,98.85,0.0,-0.0,0.0,338.2,0.76,102.0,74810.0
20150325:0400,10.73,99.15,0.0,-0.0,0.0,359.4,0.41,82.0,74840.0
20150325:0500,10.8,97.5,0.0,-0.0,0.0,366.2,0.48,66.0,74810.0
20150325:0600,10.81,97.55,0.0,-0.0,0.0,360.8,0.34,63.0,74744.0
20150325:0700,10.96,97.0,0.0,-0.0,0.0,372.8,0.69,81.0,74664.0
20150325:0800,11.19,96.6,0.0,-0.0,0.0,379.2,0.69,78.0,74649.0
20150325:0900,11.42,95.25,0.0,-0.0,0.0,375.8,0.34,64.0,74620.0
20150325:1000,11.33,96.6,0.0,-0.0,0.0,373.2,0.14,35.0,74686.0
20150325:1100,11.37,96.3,0.0,-0.0,0.0,378.4,0.14,16.0,74671.0
20150325:1200,11.69,94.4,192.0,413.38,90.0,376.6,0.41,86.0,74781.0
20150325:1300,12.74,85.7,457.0,655.22,137.0,373.4,0.69,110.0,74766.0
20150325:1400,14.16,75.85,703.0,774.84,163.0,367.0,0.48,141.0,74766.0
20150325:1500,14.66,73.05,899.0,837.87,180.0,367.2,0.48,257.0,74766.0
20150325:1600,15.43,68.75,1024.0,24.97,1000.0,368.4,0.55,284.0,74752.0
20150325:1700,15.47,69.6,861.0,18.02,843.0,361.0,0.69,284.0,74686.0
20150325:1800,16.03,66.5,777.0,212.73,571.0,347.4,0.83,289.0,74598.0
20150325:1900,15.11,83.8,358.0,13.76,346.0,371.2,0.97,285.0,74532.0
20150325:2000,16.56,83.6,556.0,29.29,535.0,345.8,0.83,279.0,74444.0
20150325:2100,15.21,82.55,393.0,300.28,239.0,352.0,0.97,274.0,74429.0
20150325:2200,14.8,87.2,211.0,270.03,137.0,345.2,0.9,245.0,74481.0
20150325:2300,12.98,88.6,0.0,0.0,0.0,357.0,0.62,276.0,74525.0
20150326:0000,12.29,92.5,0.0,-0.0,0.0,348.4,0.21,292.0,74664.0
20150326:0100,11.84,91.9,0.0,-0.0,0.0,345.85,0.41,48.0,74693.0
20150326:0200,11.34,96.0,0.0,-0.0,0.0,351.2,0.48,77.0,74752.0
20150326:0300,11.42,95.95,0.0,-0.0,0.0,357.4,0.41,59.0,74774.0
20150326:0400,11.13,98.75,0.0,-0.0,0.0,353.4,0.28,94.0,74781.0
20150326:0500,10.76,98.95,0.0,-0.0,0.0,353.0,0.41,106.0,74766.0
20150326:0600,10.64,99.6,0.0,-0.0,0.0,359.4,0.76,102.0,74693.0
20150326:0700,10.99,99.45,0.0,-0.0,0.0,375.2,0.62,97.0,74627.0
20150326:0800,11.09,99.45,0.0,-0.0,0.0,369.4,0.76,76.0,74598.0
20150326:0900,11.01,98.85,0.0,-0.0,0.0,374.2,0.83,79.0,74605.0
20150326:1000,10.91,98.15,0.0,-0.0,0.0,368.8,0.9,93.0,74576.0
20150326:1100,11.09,96.45,0.0,-0.0,0.0,376.6,1.24,106.0,74642.0
20150326:1200,11.18,96.5,137.0,418.37,33.0,372.0,1.1,111.0,74737.0
20150326:1300,12.06,90.15,358.0,0.0,358.0,371.4,0.97,104.0,74752.0
20150326:1400,13.62,77.95,192.0,2.86,190.0,350.4,0.69,110.0,74752.0
20150326:1500,14.22,74.7,351.0,65.18,295.0,368.0,0.07,221.0,74722.0
20150326:1600,15.2,66.5,1020.0,868.21,185.0,359.4,0.28,266.0,74620.0
20150326:1700,16.11,61.55,892.0,39.04,853.0,366.6,0.34,286.0,74481.0
20150326:1800,16.75,58.5,351.0,45.44,307.0,364.6,0.62,295.0,74385.0
20150326:1900,17.95,51.35,379.0,239.7,170.0,356.2,1.1,270.0,74312.0
20150326:2000,16.79,61.7,520.0,12.56,511.0,357.0,1.17,279.0,74268.0
20150326:2100,15.93,66.3,471.0,656.1,135.0,339.8,1.31,291.0,74261.0
20150326:2200,15.0,74.1,73.0,146.4,33.0,355.8,1.1,282.0,74407.0
20150326:2300,13.57,83.3,0.0,0.0,0.0,334.8,0.83,279.0,74451.0
20150327:0000,12.84,90.95,0.0,-0.0,0.0,348.4,0.76,296.0,74547.0
20150327:0100,12.39,94.35,0.0,-0.0,0.0,340.45,0.07,284.0,74576.0
20150327:0200,11.44,98.8,0.0,-0.0,0.0,335.6,0.62,55.0,74627.0
20150327:0300,11.28,99.2,0.0,-0.0,0.0,344.8,0.55,51.0,74671.0
20150327:0400,10.82,98.85,0.0,-0.0,0.0,338.0,0.83,89.0,74693.0
20150327:0500,10.37,97.75,0.0,-0.0,0.0,334.0,0.83,96.0,74664.0
20150327:0600,10.17,98.0,0.0,-0.0,0.0,343.8,0.9,93.0,74635.0
20150327:0700,9.87,96.95,0.0,-0.0,0.0,337.0,0.97,85.0,74583.0
20150327:0800,10.08,95.5,0.0,-0.0,0.0,347.6,1.03,84.0,74569.0
20150327:0900,10.0,95.15,0.0,-0.0,0.0,346.6,1.17,87.0,74569.0
20150327:1000,9.95,94.25,0.0,-0.0,0.0,348.4,1.17,88.0,74547.0
20150327:1100,9.63,94.25,0.0,-0.0,0.0,344.2,1.24,90.0,74620.0
20150327:1200,10.27,92.65,139.0,163.73,98.0,339.2,1.24,89.0,74700.0
20150327:1300,12.55,83.25,442.0,661.04,117.0,348.0,0.97,95.0,74744.0
20150327:1400,14.99,68.35,254.0,168.66,136.0,331.6,0.48,126.0,74715.0
20150327:1500,16.82,56.3,344.0,15.11,331.0,355.4,0.62,128.0,74642.0
20150327:1600,18.47,49.1,392.0,16.63,376.0,363.6,0.14,216.0,74591.0
20150327:1700,17.96,54.4,263.0,18.01,245.0,362.0,1.17,279.0,74503.0
20150327:1800,17.69,56.5,268.0,21.69,247.0,366.4,0.9,276.0,74437.0
20150327:1900,17.72,55.65,901.0,391.25,560.0,372.2,0.69,301.0,74341.0
20150327:2000,17.18,59.95,531.0,57.29,490.0,360.4,0.76,302.0,74327.0
20150327:2100,16.9,61.95,470.0,258.14,338.0,354.6,0.97,287.0,74312.0
20150327:2200,15.98,68.55,47.0,0.0,47.0,355.4,0.9,288.0,74363.0
20150327:2300,14.94,76.65,0.0,0.0,0.0,356.0,0.62,298.0,74422.0
20150328:0000,13.81,81.75,0.0,-0.0,0.0,356.8,0.28,325.0,74517.0
20150328:0100,12.61,86.05,0.0,-0.0,0.0,342.85,0.69,61.0,74598.0
20150328:0200,12.26,92.0,0.0,-0.0,0.0,360.6,0.9,65.0,74700.0
20150328:0300,12.2,93.3,0.0,-0.0,0.0,365.6,0.9,83.0,74766.0
20150328:0400,12.06,95.35,0.0,-0.0,0.0,369.4,0.76,84.0,74759.0
20150328:0500,11.66,97.05,0.0,-0.0,0.0,355.6,0.76,78.0,74744.0
20150328:0600,11.64,97.05,0.0,-0.0,0.0,362.2,0.55,81.0,74700.0
20150328:0700,11.63,91.25,0.0,-0.0,0.0,366.6,0.9,93.0,74671.0
20150328:0800,11.45,92.0,0.0,-0.0,0.0,356.0,0.97,91.0,74649.0
20150328:0900,11.24,92.7,0.0,-0.0,0.0,351.4,0.9,81.0,74620.0
20150328:1000,11.17,92.75,0.0,-0.0,0.0,354.4,0.9,84.0,74627.0
20150328:1100,10.9,93.85,0.0,-0.0,0.0,343.8,0.97,86.0,74664.0
20150328:1200,11.81,90.6,195.0,31.72,187.0,355.2,0.83,93.0,74722.0
20150328:1300,13.73,79.45,73.0,0.0,73.0,339.6,0.55,112.0,74766.0
20150328:1400,15.91,65.3,236.0,18.55,223.0,335.4,0.21,196.0,74744.0
20150328:1500,16.75,61.35,503.0,103.35,414.0,338.0,0.69,282.0,74686.0
20150328:1600,16.98,61.65,516.0,63.34,455.0,345.2,1.1,285.0,74642.0
20150328:1700,16.52,68.75,419.0,181.09,238.0,359.4,1.45,276.0,74591.0
20150328:1800,16.47,76.25,669.0,258.22,419.0,372.0,1.38,261.0,74539.0
20150328:1900,16.25,73.0,106.0,25.25,84.0,370.0,1.45,276.0,74451.0
20150328:2000,15.3,83.1,518.0,36.36,492.0,366.6,1.52,273.0,74444.0
20150328:2100,14.89,88.9,187.0,82.27,145.0,371.4,1.1,254.0,74488.0
20150328:2200,14.55,87.2,187.0,460.38,62.0,366.8,0.97,236.0,74503.0
20150328:2300,12.44,94.7,0.0,0.0,0.0,367.6,0.07,120.0,74547.0
20150329:0000,12.34,95.7,0.0,-0.0,0.0,366.0,0.9,62.0,74627.0
20150329:0100,11.98,96.45,0.0,-0.0,0.0,357.05,0.97,90.0,74657.0
20150329:0200,11.97,96.85,0.0,-0.0,0.0,363.4,0.69,71.0,74744.0
20150329:0300,11.83,98.85,0.0,-0.0,0.0,375.6,0.83,66.0,74832.0
20150329:0400,11.56,99.65,0.0,-0.0,0.0,360.6,0.83,77.0,74796.0
20150329:0500,11.55,98.5,0.0,-0.0,0.0,367.2,0.69,94.0,74744.0
20150329:0600,11.61,98.35,0.0,-0.0,0.0,370.4,0.69,78.0,74679.0
20150329:0700,11.98,97.3,0.0,-0.0,0.0,371.6,0.48,60.0,74627.0
20150329:0800,12.06,96.5,0.0,-0.0,0.0,376.8,0.55,60.0,74605.0
20150329:0900,11.9,97.0,0.0,-0.0,0.0,367.8,0.55,73.0,74591.0
20150329:1000,11.95,96.55,0.0,-0.0,0.0,374.4,0.62,88.0,74635.0
20150329:1100,11.86,96.9,0.0,-0.0,0.0,368.8,0.55,83.0,74744.0
20150329:1200,12.02,95.25,46.0,0.0,46.0,373.6,0.9,78.0,74825.0
20150329:1300,12.21,95.25,286.0,135.4,219.0,378.8,0.55,94.0,74884.0
20150329:1400,12.83,95.55,439.0,186.55,308.0,377.8,0.28,129.0,74928.0
20150329:1500,13.56,93.85,330.0,22.04,311.0,381.8,0.21,200.0,74920.0
20150329:1600,13.97,93.7,434.0,25.95,409.0,379.8,0.41,236.0,74898.0
20150329:1700,15.02,90.5,350.0,21.01,329.0,375.4,0.76,248.0,74818.0
20150329:1800,14.64,89.2,307.0,19.63,288.0,371.0,0.62,253.0,74708.0
20150329:1900,13.6,93.35,506.0,102.21,417.0,381.8,0.76,246.0,74605.0
20150329:2000,14.49,91.95,319.0,145.58,215.0,371.4,0.9,269.0,74591.0
20150329:2100,13.7,94.25,32.0,0.0,32.0,370.6,0.83,259.0,74576.0
20150329:2200,12.99,91.05,207.0,439.7,88.0,367.6,0.69,260.0,74649.0
20150329:2300,12.03,94.85,0.0,0.0,0.0,357.6,0.76,278.0,74642.0
20150330:0000,11.61,96.9,0.0,-0.0,0.0,353.6,0.55,332.0,74715.0
20150330:0100,11.32,98.15,0.0,-0.0,0.0,349.05,0.34,27.0,74781.0
20150330:0200,11.26,97.7,0.0,-0.0,0.0,359.2,0.48,41.0,74825.0
20150330:0300,10.73,98.8,0.0,-0.0,0.0,357.0,0.55,88.0,74832.0
20150330:0400,10.46,98.6,0.0,-0.0,0.0,360.2,0.9,106.0,74840.0
20150330:0500,10.21,98.25,0.0,-0.0,0.0,359.0,0.9,94.0,74788.0
20150330:0600,10.1,97.35,0.0,-0.0,0.0,355.4,0.83,106.0,74715.0
20150330:0700,9.84,98.05,0.0,-0.0,0.0,355.2,0.83,104.0,74657.0
20150330:0800,9.69,97.35,0.0,-0.0,0.0,350.8,0.9,98.0,74613.0
20150330:0900,9.28,97.6,0.0,-0.0,0.0,343.0,1.03,88.0,74613.0
20150330:1000,9.25,97.2,0.0,-0.0,0.0,355.8,1.03,88.0,74627.0
20150330:1100,9.35,97.05,0.0,-0.0,0.0,357.4,0.97,91.0,74649.0
20150330:1200,10.05,96.3,199.0,441.74,86.0,348.0,0.83,96.0,74759.0
20150330:1300,12.13,88.1,461.0,670.87,128.0,338.0,0.48,114.0,74803.0
20150330:1400,13.96,78.4,703.0,783.26,152.0,336.2,0.41,267.0,74796.0
20150330:1500,15.77,65.9,894.0,844.72,165.0,343.8,1.1,283.0,74737.0
20150330:1600,15.86,65.65,1017.0,873.36,175.0,347.0,1.45,282.0,74686.0
20150330:1700,16.5,65.8,395.0,25.0,370.0,348.8,1.66,275.0,74657.0
20150330:1800,16.59,73.9,288.0,282.07,15.0,358.6,1.59,260.0,74569.0
20150330:1900,16.55,73.2,185.0,22.98,165.0,365.2,1.45,275.0,74488.0
20150330:2000,16.57,78.75,590.0,26.62,571.0,361.0,1.59,263.0,74407.0
20150330:2100,15.39,77.95,369.0,167.04,284.0,362.2,1.86,269.0,74378.0
20150330:2200,13.47,82.25,61.0,0.0,61.0,359.0,1.52,275.0,74510.0
20150330:2300,12.43,87.95,0.0,0.0,0.0,360.6,0.76,278.0,74503.0
20150331:0000,11.95,92.9,0.0,-0.0,0.0,359.8,0.41,284.0,74664.0
20150331:0100,11.38,94.15,0.0,-0.0,0.0,357.05,0.41,26.0,74737.0
20150331:0200,10.96,95.55,0.0,-0.0,0.0,349.2,0.34,52.0,74774.0
20150331:0300,11.04,94.9,0.0,-0.0,0.0,366.0,0.21,55.0,74788.0
20150331:0400,10.57,96.75,0.0,-0.0,0.0,343.6,0.34,42.0,74796.0
20150331:0500,10.32,98.9,0.0,-0.0,0.0,348.4,0.41,55.0,74759.0
20150331:0600,10.17,99.0,0.0,-0.0,0.0,348.0,0.34,63.0,74730.0
20150331:0700,10.57,99.65,0.0,-0.0,0.0,361.0,0.21,64.0,74642.0
20150331:0800,10.73,98.8,0.0,-0.0,0.0,359.6,0.07,94.0,74605.0
20150331:0900,10.57,98.85,0.0,-0.0,0.0,361.4,0.14,69.0,74591.0
20150331:1000,10.57,99.2,0.0,-0.0,0.0,362.8,0.34,101.0,74620.0
20150331:1100,10.42,99.15,0.0,0.0,0.0,353.2,0.48,102.0,74657.0
20150331:1200,11.2,98.5,81.0,0.0,81.0,356.4,0.48,110.0,74693.0
20150331:1300,12.0,90.45,462.0,674.85,126.0,351.8,0.34,214.0,74730.0
20150331:1400,13.84,83.95,703.0,786.18,149.0,362.0,0.69,254.0,74744.0
20150331:1500,14.27,86.6,894.0,397.06,551.0,377.0,0.97,260.0,74715.0
20150331:1600,16.66,86.27,717.0,85.01,635.0,378.61,1.17,269.0,74686.0
20150331:1700,16.17,87.23,841.0,95.01,746.0,376.68,1.11,257.0,74569.0
20150331:1800,15.67,88.19,137.0,110.58,30.0,374.75,1.05,271.0,74510.0
20150331:1900,15.18,89.15,127.0,5.75,122.0,372.82,0.99,250.0,74407.0
20150331:2000,14.68,90.11,232.0,22.44,216.0,370.89,0.93,256.0,74378.0
20150331:2100,14.19,91.07,283.0,208.66,177.0,368.96,0.87,252.0,74312.0
20150331:2200,13.69,92.03,168.0,100.42,141.0,367.03,0.81,285.0,74356.0
20150331:2300,13.2,92.99,0.0,0.0,0.0,365.09,0.75,311.0,74437.0
20080401:0000,12.71,93.96,0.0,-0.0,0.0,363.16,0.69,324.0,74422.0
20080401:0100,12.21,94.92,0.0,-0.0,0.0,361.23,0.63,36.0,74495.0
20080401:0200,11.72,95.88,0.0,-0.0,0.0,359.3,0.58,69.0,74517.0
20080401:0300,11.22,96.84,0.0,-0.0,0.0,357.37,0.52,98.0,74539.0
20080401:0400,10.73,97.8,0.0,-0.0,0.0,355.44,0.46,115.0,74576.0
20080401:0500,10.23,98.76,0.0,-0.0,0.0,353.5,0.4,111.0,74510.0
20080401:0600,9.74,99.72,0.0,-0.0,0.0,351.57,0.34,102.0,74488.0
20080401:0700,9.24,100.0,0.0,-0.0,0.0,349.64,0.28,326.0,74437.0
20080401:0800,10.4,99.35,0.0,-0.0,0.0,368.0,0.34,346.0,74415.0
20080401:0900,10.09,99.4,0.0,-0.0,0.0,348.0,0.14,2.0,74429.0
20080401:1000,10.06,99.25,0.0,-0.0,0.0,356.6,0.28,102.0,74437.0
20080401:1100,9.99,99.5,0.0,0.0,0.0,357.6,0.62,94.0,74473.0
20080401:1200,10.45,99.45,43.0,0.0,43.0,362.8,0.48,83.0,74561.0
20080401:1300,11.58,97.25,250.0,59.9,220.0,357.2,0.34,33.0,74561.0
20080401:1400,11.63,97.05,145.0,8.49,139.0,372.6,0.48,2.0,74635.0
20080401:1500,12.56,96.85,318.0,20.8,300.0,369.8,0.62,313.0,74642.0
20080401:1600,12.81,98.45,597.0,82.87,517.0,370.2,0.83,284.0,74598.0
20080401:1700,13.07,96.7,582.0,64.0,518.0,373.6,1.31,269.0,74547.0
20080401:1800,14.37,86.3,695.0,157.19,543.0,368.2,1.38,283.0,74459.0
20080401:1900,13.37,90.85,900.0,867.0,147.0,380.6,1.31,296.0,74415.0
20080401:2000,13.47,88.0,332.0,39.36,304.0,371.6,1.24,297.0,74341.0
20080401:2100,13.71,90.95,166.0,5.93,163.0,369.6,1.03,300.0,74349.0
20080401:2200,12.72,92.55,132.0,86.13,109.0,359.2,0.9,305.0,74385.0
20080401:2300,11.29,90.7,0.0,0.0,0.0,354.4,0.9,306.0,74415.0
20080402:0000,10.14,97.95,0.0,-0.0,0.0,337.0,0.21,38.0,74503.0
20080402:0100,9.86,99.05,0.0,-0.0,0.0,335.85,0.28,157.0,74525.0
20080402:0200,9.76,99.45,0.0,-0.0,0.0,339.0,0.48,104.0,74598.0
20080402:0300,9.81,98.95,0.0,-0.0,0.0,344.8,0.62,97.0,74613.0
20080402:0400,9.75,99.15,0.0,-0.0,0.0,348.4,0.55,94.0,74605.0
20080402:0500,9.62,99.5,0.0,-0.0,0.0,346.4,0.34,96.0,74591.0
20080402:0600,9.7,99.35,0.0,-0.0,0.0,357.6,0.14,109.0,74583.0
20080402:0700,9.24,99.25,0.0,-0.0,0.0,338.2,0.07,30.0,74525.0
20080402:0800,8.81,99.7,0.0,-0.0,0.0,324.8,0.41,95.0,74525.0
20080402:0900,8.44,99.75,0.0,-0.0,0.0,322.4,0.62,90.0,74503.0
20080402:1000,8.41,99.1,0.0,-0.0,0.0,333.6,0.62,88.0,74510.0
20080402:1100,8.3,99.1,0.0,0.0,0.0,332.0,0.62,96.0,74554.0
20080402:1200,9.47,94.55,146.0,140.82,109.0,337.8,0.34,100.0,74583.0
20080402:1300,11.08,88.4,112.0,1.99,111.0,342.0,0.14,355.0,74613.0
20080402:1400,13.0,76.55,151.0,9.89,144.0,354.8,0.97,303.0,74605.0
20080402:1500,14.39,70.0,908.0,882.1,144.0,332.6,1.59,299.0,74554.0
20080402:1600,15.44,71.9,763.0,227.82,543.0,348.8,2.14,284.0,74488.0
20080402:1700,16.32,78.4,1069.0,914.06,155.0,346.0,2.41,286.0,74437.0
20080402:1800,17.35,83.15,225.0,16.55,209.0,348.0,2.07,280.0,74334.0
20080402:1900,17.31,90.35,251.0,16.13,237.0,353.8,1.86,279.0,74210.0
20080402:2000,17.83,86.75,713.0,814.88,134.0,342.6,2.07,284.0,74239.0
20080402:2100,15.3,87.1,196.0,17.81,187.0,347.0,1.86,294.0,74210.0
20080402:2200,13.89,89.5,133.0,93.94,108.0,349.6,1.45,304.0,74297.0
20080402:2300,11.78,94.25,0.0,0.0,0.0,332.8,0.97,334.0,74378.0
20080403:0000,11.03,96.15,0.0,-0.0,0.0,337.4,0.48,19.0,74429.0
20080403:0100,10.44,98.25,0.0,-0.0,0.0,317.85,0.21,15.0,74481.0
20080403:0200,9.79,99.0,0.0,-0.0,0.0,317.4,0.41,80.0,74554.0
20080403:0300,9.3,98.95,0.0,-0.0,0.0,332.2,0.62,94.0,74613.0
20080403:0400,8.99,98.1,0.0,-0.0,0.0,339.8,0.62,106.0,74657.0
20080403:0500,8.15,97.35,0.0,-0.0,0.0,331.8,0.76,95.0,74627.0
20080403:0600,7.67,97.5,0.0,-0.0,0.0,328.6,0.9,98.0,74591.0
20080403:0700,8.22,99.85,0.0,-0.0,0.0,338.0,0.41,76.0,74532.0
20080403:0800,8.56,99.65,0.0,-0.0,0.0,340.4,0.55,72.0,74517.0
20080403:0900,8.59,98.65,0.0,-0.0,0.0,343.0,0.69,70.0,74503.0
20080403:1000,8.51,98.95,0.0,-0.0,0.0,341.2,0.76,78.0,74517.0
20080403:1100,8.45,98.6,0.0,0.0,0.0,345.0,0.76,84.0,74576.0
20080403:1200,9.15,95.85,212.0,514.35,76.0,346.4,1.03,98.0,74649.0
20080403:1300,10.42,89.45,476.0,726.72,110.0,334.8,0.41,121.0,74649.0
20080403:1400,12.97,73.0,718.0,829.23,130.0,324.0,0.55,315.0,74657.0
20080403:1500,14.48,63.8,287.0,19.61,270.0,338.0,1.1,305.0,74620.0
20080403:1600,15.08,61.3,1028.0,907.92,151.0,346.4,1.52,301.0,74539.0
20080403:1700,15.69,60.5,1069.0,915.14,154.0,347.2,1.93,288.0,74459.0
20080403:1800,15.91,62.55,1026.0,904.61,152.0,355.6,2.14,290.0,74400.0
20080403:1900,16.25,83.7,902.0,871.78,146.0,348.6,1.86,276.0,74319.0
20080403:2000,16.69,86.5,710.0,813.04,133.0,352.2,1.66,270.0,74312.0
20080403:2100,16.14,84.3,469.0,703.87,114.0,341.2,1.59,280.0,74290.0
